                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  3.283,                 5.0907,                 3.7025,                 4.1241,                0.04054,                0.06122,                0.04341,                0.00799,                0.00162,                0.44898,                0.00162,                 0.0003,                 2.5494,                 7.0056,                 3.5608,                 4.1942,             9.4984e-05,             7.9223e-06,             7.9223e-06
                     24,                 3.3337,                 5.1016,                 3.6634,                 4.1216,                0.01315,                0.46939,                0.03205,                0.00837,                0.00169,                0.46939,                0.00179,                0.00037,                 2.5644,                 6.6926,                 3.5423,                 4.1581,             9.5212e-05,             8.2668e-06,             8.2668e-06
                     25,                 3.2861,                 4.9328,                 3.6385,                 4.0999,                  0.003,                0.83673,                 0.0324,                0.00966,                0.00198,                0.55102,                0.00291,                0.00053,                 2.5841,                 6.5832,                 3.5205,                 4.1416,             9.5439e-05,             8.6112e-06,             8.6112e-06
                     26,                  3.324,                 4.7909,                 3.5987,                 4.0988,                0.00291,                0.81633,                  0.042,                0.01189,                0.00211,                0.59184,                0.00325,                 0.0006,                 2.5846,                 6.5339,                 3.5059,                 4.1574,             9.5667e-05,             8.9555e-06,             8.9555e-06
                     27,                 3.2805,                 4.7235,                 3.5606,                 4.0847,                0.00291,                0.81633,                0.01722,                0.00475,                0.00219,                0.61224,                0.00457,                0.00087,                 2.5769,                 6.2142,                 3.4696,                 4.1227,             9.5894e-05,             9.2998e-06,             9.2998e-06
                     28,                 3.3721,                 4.6645,                 3.5855,                 4.0837,                 0.0029,                0.81633,                0.01751,                0.00484,                0.00225,                0.63265,                0.00713,                0.00127,                 2.5751,                 5.8921,                 3.4636,                 4.0893,             9.6122e-05,              9.644e-06,              9.644e-06
                     29,                 3.3637,                 4.6435,                 3.5428,                 4.0764,                0.00305,                0.85714,                0.02389,                0.00543,                0.00239,                0.67347,                0.00672,                0.00149,                 2.5638,                 5.6485,                  3.442,                 4.0764,             9.6349e-05,             9.9881e-06,             9.9881e-06
                     30,                 3.3004,                 4.4942,                 3.4917,                 4.0549,                0.00291,                0.81633,                0.02759,                0.00698,                0.00255,                0.71429,                0.01475,                0.00271,                  2.554,                 5.3917,                 3.4065,                 4.0711,             9.6576e-05,             1.0332e-05,             1.0332e-05
                     31,                  3.365,                 4.4653,                 3.4611,                 4.0498,                 0.0029,                0.81633,                0.03081,                0.00817,                0.00254,                0.71429,                0.01724,                0.00355,                 2.5552,                 5.2935,                 3.3845,                 4.0424,             9.6803e-05,             1.0676e-05,             1.0676e-05
                     32,                 3.2656,                 4.3792,                 3.4562,                 4.0256,                0.00291,                0.81633,                0.03879,                0.00976,                0.00262,                0.73469,                0.02373,                 0.0049,                  2.571,                  5.117,                 3.3601,                  4.012,              9.703e-05,              1.102e-05,              1.102e-05
