                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 3.1225,                 5.2907,                 4.0598,                 4.1581,                0.00299,                0.84615,                0.02184,                0.00705,                0.00211,                0.59615,                0.00662,                 0.0012,                 2.5009,                 5.1093,                 3.9823,                  4.119,             0.00012887,             1.1825e-05,             1.1825e-05
                     24,                 3.0499,                 5.2695,                  3.929,                 4.1421,                0.00306,                0.86538,                0.02686,                0.00799,                0.00197,                0.55769,                0.00758,                0.00143,                 2.4883,                  5.214,                 3.9983,                 4.1232,             0.00012919,             1.2341e-05,             1.2341e-05
                     25,                  3.061,                 5.2129,                 4.0103,                 4.1379,                0.02216,                0.01923,                0.02183,                0.00688,                0.00197,                0.55769,                0.00526,                0.00119,                 2.4742,                 5.5298,                 4.0148,                 4.1541,             0.00012951,             1.2856e-05,             1.2856e-05
                     26,                 3.1358,                 5.1126,                 4.0286,                 4.1329,                 0.0579,                0.01923,                0.03349,                0.00949,                0.00197,                0.55769,                 0.0071,                0.00155,                 2.4874,                 5.7062,                 3.9947,                  4.174,             0.00012983,             1.3371e-05,             1.3371e-05
                     27,                 3.0564,                 4.8705,                 4.0035,                 4.1231,                0.06395,                0.03846,                0.03398,                0.00942,                0.00184,                0.51923,                0.00897,                0.00201,                 2.4898,                 6.0232,                 3.9325,                   4.19,             0.00013015,             1.3886e-05,             1.3886e-05
                     28,                  3.221,                 4.9482,                 3.9382,                 4.1223,                0.04781,                0.03846,                0.03078,                0.00972,                0.00204,                0.57692,                0.00988,                0.00267,                  2.496,                 6.2645,                 3.9519,                 4.2017,             0.00013047,             1.4401e-05,             1.4401e-05
                     29,                 3.0475,                 4.7793,                 3.9424,                 4.0878,                0.01909,                0.01923,                0.03589,                0.01147,                0.00204,                0.57692,                0.01401,                0.00396,                 2.4794,                 5.9863,                 3.9902,                 4.1772,             0.00013079,             1.4916e-05,             1.4916e-05
                     30,                 3.0031,                 4.7693,                 3.8063,                 4.0975,                0.01658,                0.01923,                0.03324,                0.01045,                0.00218,                0.61538,                0.01277,                0.00334,                 2.4976,                 5.8154,                 4.0744,                 4.1501,             0.00013111,             1.5431e-05,             1.5431e-05
                     31,                 3.0238,                 4.5466,                 3.8568,                 4.0693,                0.01544,                0.03846,                0.02261,                0.00705,                0.00224,                0.63462,                0.00976,                 0.0026,                 2.5066,                 5.5858,                 4.0265,                 4.1038,             0.00013143,             1.5946e-05,             1.5946e-05
                     32,                 2.9999,                 4.5122,                 3.7988,                 4.0618,                0.01461,                0.44231,                 0.0134,                0.00498,                0.01016,                0.30769,                0.00906,                0.00257,                  2.496,                 5.5833,                 4.2106,                 4.1258,             0.00013174,              1.646e-05,              1.646e-05
                     33,                 3.0784,                 4.4972,                 3.8733,                 4.0593,                0.02093,                0.21154,                0.01582,                0.00527,                0.01312,                0.30769,                0.00854,                 0.0024,                 2.5063,                 5.6065,                 4.1879,                 4.1367,             0.00013206,             1.6975e-05,             1.6975e-05
                     34,                 3.0977,                 4.3026,                  3.765,                 4.0375,                0.06789,                0.17308,                0.06451,                0.01938,                0.07905,                0.17308,                0.05134,                 0.0159,                 2.4963,                 5.3512,                 3.8705,                 4.0742,             0.00013238,             1.7489e-05,             1.7489e-05
                     35,                 3.1196,                 4.2799,                 3.8025,                 4.0273,                0.00328,                0.86538,                0.03637,                0.01102,                0.00263,                0.69231,                0.02203,                0.00655,                 2.5006,                 5.2604,                 3.8042,                  4.056,              0.0001327,             1.8003e-05,             1.8003e-05
                     36,                 3.0513,                 4.2739,                 3.8001,                 4.0073,                0.02687,                0.40385,                0.02616,                0.00778,                0.01919,                0.28846,                0.01789,                0.00563,                 2.5086,                 5.2737,                 3.8023,                 4.0688,             0.00013302,             1.8518e-05,             1.8518e-05
                     37,                 3.0006,                 4.1536,                 3.7668,                 3.9821,                0.04322,                0.13462,                0.02859,                0.00885,                0.04939,                0.15385,                 0.0221,                0.00693,                 2.5425,                 5.5051,                  3.747,                 4.0553,             0.00013334,             1.9032e-05,             1.9032e-05
                     38,                 2.9348,                 4.1859,                 3.7107,                 3.9521,                0.04473,                0.21154,                0.03043,                0.00897,                0.04066,                0.19231,                0.02028,                 0.0062,                 2.5083,                 5.4079,                 3.7672,                 3.9981,             0.00013365,             1.9546e-05,             1.9546e-05
