                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 3.0679,                 4.3301,                 3.7155,                 3.7357,                0.00297,                0.83673,                0.04335,                0.01187,                0.00254,                0.71429,                0.03783,                0.00898,                 2.5896,                 4.9809,                  3.428,                 3.6853,               0.001503,             4.0985e-06,             4.0985e-06
                     24,                 3.1381,                 4.2509,                 3.6608,                  3.741,                0.00283,                0.79592,                0.06984,                0.02373,                0.00261,                0.73469,                0.05815,                0.02117,                  2.587,                 4.7895,                 3.3782,                 3.6486,              0.0014945,             4.2767e-06,             4.2767e-06
                     25,                 3.0843,                 4.2797,                 3.6366,                 3.7078,                0.00283,                0.79592,                0.08882,                 0.0382,                0.00268,                 0.7551,                0.07598,                0.02809,                 2.5915,                 4.8048,                 3.3526,                 3.6313,              0.0014861,             4.4549e-06,             4.4549e-06
                     26,                 3.0843,                 4.1818,                 3.5496,                 3.6945,                0.08749,                0.16327,                0.06366,                0.02363,                0.07656,                0.14286,                0.06101,                0.02134,                 2.5895,                 4.7481,                 3.3826,                 3.5953,              0.0014777,             4.6331e-06,             4.6331e-06
                     27,                 3.1029,                   4.07,                 3.5331,                 3.6983,                0.11647,                0.14286,                0.04981,                0.01449,                0.12026,                0.14286,                0.04619,                0.01247,                 2.5869,                 4.6567,                 3.3291,                 3.5755,              0.0014692,             4.8111e-06,             4.8111e-06
                     28,                 3.1253,                 4.0798,                 3.5497,                 3.6833,                0.08968,                0.22449,                0.06144,                 0.0146,                 0.1057,                0.12245,                0.05788,                0.01307,                 2.5909,                 4.6102,                 3.3028,                 3.5526,              0.0014608,             4.9892e-06,             4.9892e-06
                     29,                 3.0804,                 4.0305,                  3.525,                 3.6688,                0.02378,                0.53061,                0.06538,                0.01436,                0.05318,                0.18367,                0.04138,                0.01223,                  2.589,                  4.541,                 3.2788,                  3.521,              0.0014524,             5.1672e-06,             5.1672e-06
                     30,                 3.1025,                 3.9543,                 3.4819,                 3.6534,                0.10414,                0.16327,                0.04987,                0.01521,                0.17622,                0.14286,                0.07741,                0.01901,                  2.596,                 4.5164,                 3.3737,                 3.5134,              0.0014439,             5.3452e-06,             5.3452e-06
                     31,                 3.1292,                 3.9776,                 3.4433,                 3.6514,                0.09076,                0.10204,                0.04209,                0.01284,                0.11739,                0.10204,                0.04426,                0.01229,                 2.6014,                 4.4866,                 3.3033,                 3.5035,              0.0014355,             5.5232e-06,             5.5232e-06
                     32,                 3.0277,                 3.9149,                 3.4234,                  3.604,                0.09076,                0.06122,                0.05079,                0.01586,                0.22017,                0.08163,                0.09076,                0.01944,                 2.6281,                 4.4035,                 3.4048,                  3.497,              0.0014271,             5.7011e-06,             5.7011e-06
                     33,                 3.0556,                  3.903,                 3.3743,                 3.6035,                0.05768,                0.11498,                0.04046,                0.01422,                0.10657,                0.06122,                0.06211,                0.01656,                 2.6202,                 4.3555,                  3.345,                  3.489,              0.0014186,              5.879e-06,              5.879e-06
