                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 3.1314,                  3.847,                 3.4202,                 3.6517,                0.00812,                0.63265,                0.04364,                0.01067,                0.00026,                0.02041,                0.00028,                  3e-05,                 2.8618,                 5.6632,                 3.2534,                  3.629,              0.0035944,             6.1761e-06,             6.1761e-06
                     25,                 3.0486,                 3.8315,                   3.44,                 3.5922,                0.09065,                0.10204,                0.06062,                0.01517,                0.10878,                0.12245,                0.07427,                0.01505,                 2.8121,                 4.4905,                 3.0622,                 3.6168,               0.003566,             6.4346e-06,             6.4346e-06
                     26,                  3.069,                 3.9446,                 3.5066,                 3.6212,                 0.0038,                 0.7551,                0.07866,                0.02069,                0.00328,                0.65306,                 0.0501,                0.01043,                 2.7695,                  4.726,                 3.0755,                 3.6197,              0.0035376,             6.6931e-06,             6.6931e-06
                     27,                 2.9407,                  3.882,                 3.4374,                 3.5614,                 0.0593,                0.36735,                0.08268,                0.02119,                0.01086,                0.69388,                0.07474,                0.02013,                 2.8082,                 4.1631,                 3.0645,                 3.6241,              0.0035092,             6.9515e-06,             6.9515e-06
                     28,                      3,                 3.9108,                 3.3677,                 3.5592,                0.09311,                0.10904,                0.06386,                0.01927,                0.14417,                0.12245,                0.11856,                0.02512,                 2.8567,                 4.4154,                 3.0319,                 3.6283,              0.0034808,             7.2098e-06,             7.2098e-06
                     29,                 3.1226,                 3.7099,                 3.3732,                 3.6293,                0.09667,                0.22449,                0.05189,                0.01519,                0.11999,                0.16327,                0.04931,                0.00959,                 2.8061,                 5.3537,                 3.0765,                 3.6351,              0.0034524,             7.4681e-06,             7.4681e-06
                     30,                  3.036,                  3.773,                 3.2803,                  3.592,                0.10375,                0.14286,                0.08644,                 0.0225,                0.09284,                0.16327,                0.05614,                 0.0105,                 2.7753,                 4.5354,                 3.0378,                 3.6204,               0.003424,             7.7264e-06,             7.7264e-06
                     31,                 3.0099,                 3.5797,                 3.3204,                 3.5652,                0.16055,                0.10204,                0.06617,                0.01758,                0.18118,                0.10204,                 0.0761,                0.01434,                 2.8345,                 4.8297,                 3.0107,                 3.6279,              0.0033956,             7.9846e-06,             7.9846e-06
                     32,                 3.0462,                 3.6795,                 3.1979,                 3.5955,                0.11873,                 0.1183,                0.04841,                0.01399,                0.08608,                0.08163,                0.06051,                0.01394,                 2.8997,                 4.4312,                  3.053,                 3.6592,              0.0033672,             8.2427e-06,             8.2427e-06
                     33,                 3.0258,                 3.7525,                  3.326,                 3.5696,                0.12072,                0.20408,                0.07551,                0.02303,                0.09909,                0.20408,                0.06892,                 0.0191,                 2.8404,                 3.9788,                 2.9433,                 3.6412,              0.0033387,             8.5008e-06,             8.5008e-06
                     34,                 3.0374,                 3.6137,                   3.21,                 3.5938,                0.12536,                0.22449,                 0.0948,                0.02835,                0.15279,                0.27609,                0.08873,                0.02118,                 2.8259,                 4.0672,                 3.1721,                 3.6344,              0.0033103,             8.7588e-06,             8.7588e-06
                     35,                 3.0221,                 3.5839,                 3.1446,                 3.5396,                0.07461,                0.26531,                0.04197,                0.01111,                0.08996,                0.30612,                0.04977,                 0.0124,                 2.8335,                 3.8037,                 3.0955,                 3.6501,              0.0032819,             9.0168e-06,             9.0168e-06
